Month,Region,Channel,ProductCategory,UnitsSold,AvgUnitPrice,Revenue,COGS,MarketingSpend,NewCustomers,RepeatCustomers,ReturnedUnits,GrossProfit,GrossMarginPct
2025-09,North America,Online Store,Hiking Footwear,285,125.57,35786.84,18889.21,2593.88,77,45,18,16897.63,47.22
2025-09,North America,Online Store,Apparel,196,66.31,12997.64,7045.36,801.26,77,53,6,5952.28,45.8
2025-09,North America,Online Store,Camping Gear,271,144.13,39058.49,20240.83,3693.2,79,65,7,18817.66,48.18
2025-09,North America,Online Store,Accessories,220,33.55,7379.90,3672.44,712.05,80,39,10,3707.46,50.24
2025-09,North America,Retail Partner,Hiking Footwear,179,122.58,21942.01,10360.32,1430.71,70,52,10,11581.69,52.78
2025-09,North America,Retail Partner,Apparel,175,62.46,10930.50,5057.51,1254.15,55,29,7,5872.99,53.73
2025-09,North America,Retail Partner,Camping Gear,314,144.35,45326.32,23461.30,4702.01,87,92,18,21865.02,48.24
2025-09,North America,Retail Partner,Accessories,141,38.08,5368.79,3040.49,578.93,54,23,4,2328.3,43.37
2025-09,North America,Marketplace,Hiking Footwear,162,117.33,19007.18,9223.72,2400.59,49,31,7,9783.46,51.47
2025-09,North America,Marketplace,Apparel,125,60.33,7541.50,4180.14,497.47,49,33,3,3361.36,44.57
2025-09,North America,Marketplace,Camping Gear,262,158.14,41432.18,19043.30,3674.09,70,73,13,22388.88,54.04
2025-09,North America,Marketplace,Accessories,209,33.82,7067.60,3238.82,599.89,62,54,10,3828.78,54.17
2025-09,Europe,Online Store,Hiking Footwear,194,110.87,21508.83,11673.31,2599.62,64,51,8,9835.52,45.73
2025-09,Europe,Online Store,Apparel,203,65.30,13254.99,6701.46,822.25,54,31,10,6553.53,49.44
2025-09,Europe,Online Store,Camping Gear,248,162.23,40232.29,19408.38,3734.79,90,45,5,20823.91,51.76
2025-09,Europe,Online Store,Accessories,93,33.53,3118.13,1468.51,419,34,22,5,1649.62,52.9
2025-09,Europe,Retail Partner,Hiking Footwear,141,129.42,18248.42,9491.27,2273.67,54,27,3,8757.15,47.99
2025-09,Europe,Retail Partner,Apparel,152,61.46,9342.40,4722.81,1171.92,57,22,6,4619.59,49.45
2025-09,Europe,Retail Partner,Camping Gear,126,138.60,17463.09,8624.85,2365.07,37,28,6,8838.24,50.61
2025-09,Europe,Retail Partner,Accessories,146,34.05,4970.63,2864.73,680.96,42,32,5,2105.9,42.37
2025-09,Europe,Marketplace,Hiking Footwear,134,109.24,14637.56,7117.13,1941.84,38,23,5,7520.43,51.38
2025-09,Europe,Marketplace,Apparel,177,71.31,12622.48,6077.31,1436.07,64,32,9,6545.17,51.85
2025-09,Europe,Marketplace,Camping Gear,222,154.01,34189.31,17766.50,2298.31,83,43,6,16422.81,48.03
2025-09,Europe,Marketplace,Accessories,82,31.79,2606.40,1373.09,297.66,20,18,2,1233.31,47.32
2025-09,Asia Pacific,Online Store,Hiking Footwear,116,124.58,14451.57,7229.77,1950.07,31,23,2,7221.8,49.97
2025-09,Asia Pacific,Online Store,Apparel,147,70.52,10366.59,5847.32,835.91,51,40,7,4519.27,43.59
2025-09,Asia Pacific,Online Store,Camping Gear,113,137.79,15570.62,8822.91,2055.84,38,22,4,6747.71,43.34
2025-09,Asia Pacific,Online Store,Accessories,169,36.58,6182.31,3503.05,809.68,62,41,4,2679.26,43.34
2025-09,Asia Pacific,Retail Partner,Hiking Footwear,145,108.12,15677.61,7382.67,1628.88,51,35,4,8294.94,52.91
2025-09,Asia Pacific,Retail Partner,Apparel,88,67.76,5962.73,2867.13,512.99,31,21,5,3095.6,51.92
2025-09,Asia Pacific,Retail Partner,Camping Gear,202,137.81,27837.67,13857.68,2260.87,57,59,8,13979.99,50.22
2025-09,Asia Pacific,Retail Partner,Accessories,203,37.74,7662.10,4076.61,946.92,66,48,9,3585.49,46.8
2025-09,Asia Pacific,Marketplace,Hiking Footwear,126,114.74,14457.06,6551.38,1613.95,34,36,8,7905.68,54.68
2025-09,Asia Pacific,Marketplace,Apparel,67,70.39,4716.35,2349.31,288.81,26,14,4,2367.04,50.19
2025-09,Asia Pacific,Marketplace,Camping Gear,102,160.53,16374.48,8043.14,1204.5,34,29,5,8331.34,50.88
2025-09,Asia Pacific,Marketplace,Accessories,64,35.49,2271.39,1050.82,248.04,25,10,2,1220.57,53.74
